"LETO";"STAROSTNE SKUPINE";"DRUŽINSKA SKUPNOST, V KATERI JE ROJEN OTROK";"VRSTNI RED ROJSTVA";Živorojeni, rojeni v zakonski zvezi ali zunaj zakonske zveze
"2010";"30-34";"Rojeni v zakonski zvezi";"Peto rojstvo";34
"2010";"30-34";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";8
"2010";"30-34";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";2019
"2010";"30-34";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";1782
"2010";"30-34";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";298
"2010";"30-34";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";50
"2010";"30-34";"Rojeni zunaj zakonske zveze";"Peto rojstvo";22
"2010";"30-34";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";10
"2010";"35-39";"Rojeni v zakonski zvezi";"Prvo rojstvo";254
"2010";"35-39";"Rojeni v zakonski zvezi";"Drugo rojstvo";612
"2010";"35-39";"Rojeni v zakonski zvezi";"Tretje rojstvo";480
"2010";"35-39";"Rojeni v zakonski zvezi";"Èetrto rojstvo";169
"2010";"35-39";"Rojeni v zakonski zvezi";"Peto rojstvo";52
"2010";"35-39";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";34
"2010";"35-39";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";545
"2010";"35-39";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";622
"2010";"35-39";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";188
"2010";"35-39";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";49
"2010";"35-39";"Rojeni zunaj zakonske zveze";"Peto rojstvo";14
"2010";"35-39";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";10
"2010";"40-44";"Rojeni v zakonski zvezi";"Prvo rojstvo";43
"2010";"40-44";"Rojeni v zakonski zvezi";"Drugo rojstvo";61
"2010";"40-44";"Rojeni v zakonski zvezi";"Tretje rojstvo";65
"2010";"40-44";"Rojeni v zakonski zvezi";"Èetrto rojstvo";29
"2010";"40-44";"Rojeni v zakonski zvezi";"Peto rojstvo";19
"2010";"40-44";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";18
"2010";"40-44";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";73
"2010";"40-44";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";73
"2010";"40-44";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";44
"2010";"40-44";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";15
"2010";"40-44";"Rojeni zunaj zakonske zveze";"Peto rojstvo";3
"2010";"40-44";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";3
"2010";"45-49";"Rojeni v zakonski zvezi";"Prvo rojstvo";3
"2010";"45-49";"Rojeni v zakonski zvezi";"Drugo rojstvo";2
"2010";"45-49";"Rojeni v zakonski zvezi";"Tretje rojstvo";1
"2010";"45-49";"Rojeni v zakonski zvezi";"Èetrto rojstvo";3
"2010";"45-49";"Rojeni v zakonski zvezi";"Peto rojstvo";1
"2010";"45-49";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";5
"2010";"45-49";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";6
"2010";"45-49";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";4
"2010";"45-49";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";1
"2010";"45-49";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";1
"2010";"45-49";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2010";"45-49";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2010";"50+";"Rojeni v zakonski zvezi";"Prvo rojstvo";0
"2010";"50+";"Rojeni v zakonski zvezi";"Drugo rojstvo";1
"2010";"50+";"Rojeni v zakonski zvezi";"Tretje rojstvo";0
"2010";"50+";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2010";"50+";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2010";"50+";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2010";"50+";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";1
"2010";"50+";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";1
"2010";"50+";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";0
"2010";"50+";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";0
"2010";"50+";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2010";"50+";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2011";"Pod 15";"Rojeni v zakonski zvezi";"Prvo rojstvo";0
"2011";"Pod 15";"Rojeni v zakonski zvezi";"Drugo rojstvo";0
"2011";"Pod 15";"Rojeni v zakonski zvezi";"Tretje rojstvo";0
"2011";"Pod 15";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2011";"Pod 15";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2011";"Pod 15";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2011";"Pod 15";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";1
"2011";"Pod 15";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";0
"2011";"Pod 15";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";0
"2011";"Pod 15";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";0
