"MESEC";"DAN V MESECU";Živorojeni
"2011M07";"17";52
"2011M07";"18";68
"2011M07";"19";64
"2011M07";"20";84
"2011M07";"21";81
"2011M07";"22";56
"2011M07";"23";64
"2011M07";"24";49
"2011M07";"25";90
"2011M07";"26";58
"2011M07";"27";60
"2011M07";"28";74
"2011M07";"29";79
"2011M07";"30";62
"2011M07";"31";58
"2011M08";"1";63
"2011M08";"2";75
"2011M08";"3";71
"2011M08";"4";82
"2011M08";"5";68
"2011M08";"6";41
"2011M08";"7";55
"2011M08";"8";96
"2011M08";"9";66
"2011M08";"10";62
"2011M08";"11";73
"2011M08";"12";63
"2011M08";"13";66
"2011M08";"14";56
"2011M08";"15";48
"2011M08";"16";75
"2011M08";"17";64
"2011M08";"18";71
"2011M08";"19";76
"2011M08";"20";53
"2011M08";"21";52
"2011M08";"22";75
"2011M08";"23";69
"2011M08";"24";68
"2011M08";"25";74
"2011M08";"26";77
"2011M08";"27";50
"2011M08";"28";45
"2011M08";"29";60
"2011M08";"30";67
"2011M08";"31";66
"2011M09";"1";64
"2011M09";"2";69
"2011M09";"3";68
"2011M09";"4";33
"2011M09";"5";55
"2011M09";"6";59
"2011M09";"7";69
"2011M09";"8";65
"2011M09";"9";73
"2011M09";"10";56
"2011M09";"11";59
"2011M09";"12";88
"2011M09";"13";66
"2011M09";"14";66
"2011M09";"15";59
"2011M09";"16";76
"2011M09";"17";54
"2011M09";"18";57
"2011M09";"19";59
"2011M09";"20";80
"2011M09";"21";76
"2011M09";"22";67
"2011M09";"23";80
"2011M09";"24";61
"2011M09";"25";42
"2011M09";"26";76
"2011M09";"27";60
"2011M09";"28";57
"2011M09";"29";67
"2011M09";"30";71
"2011M09";"31";-
"2011M10";"1";46
"2011M10";"2";58
"2011M10";"3";59
"2011M10";"4";61
"2011M10";"5";59
"2011M10";"6";61
"2011M10";"7";73
"2011M10";"8";53
"2011M10";"9";34
"2011M10";"10";50
"2011M10";"11";60
"2011M10";"12";58
"2011M10";"13";70
"2011M10";"14";59
"2011M10";"15";53
"2011M10";"16";30
"2011M10";"17";68
"2011M10";"18";61
"2011M10";"19";61
"2011M10";"20";76
"2011M10";"21";67
"2011M10";"22";43
"2011M10";"23";49
"2011M10";"24";58
"2011M10";"25";70
"2011M10";"26";71
"2011M10";"27";48
"2011M10";"28";71
"2011M10";"29";49
"2011M10";"30";48
"2011M10";"31";56
"2011M11";"1";57
"2011M11";"2";62
"2011M11";"3";71
"2011M11";"4";76
"2011M11";"5";51
"2011M11";"6";45
"2011M11";"7";59
"2011M11";"8";54
"2011M11";"9";68
"2011M11";"10";74
"2011M11";"11";76
"2011M11";"12";46
"2011M11";"13";43
"2011M11";"14";71
"2011M11";"15";57
"2011M11";"16";65
"2011M11";"17";54
"2011M11";"18";64
"2011M11";"19";55
"2011M11";"20";44
"2011M11";"21";53
"2011M11";"22";62
"2011M11";"23";48
"2011M11";"24";75
"2011M11";"25";61
"2011M11";"26";63
"2011M11";"27";47
"2011M11";"28";64
"2011M11";"29";58
"2011M11";"30";62
"2011M11";"31";-
"2011M12";"1";71
"2011M12";"2";59
"2011M12";"3";35
"2011M12";"4";44
"2011M12";"5";64
"2011M12";"6";55
"2011M12";"7";51
"2011M12";"8";47
"2011M12";"9";69
"2011M12";"10";43
"2011M12";"11";38
"2011M12";"12";66
"2011M12";"13";60
"2011M12";"14";71
"2011M12";"15";62
"2011M12";"16";75
"2011M12";"17";37
"2011M12";"18";52
"2011M12";"19";62
"2011M12";"20";78
"2011M12";"21";65
"2011M12";"22";45
"2011M12";"23";57
"2011M12";"24";39
"2011M12";"25";44
"2011M12";"26";48
"2011M12";"27";66
"2011M12";"28";59
"2011M12";"29";55
"2011M12";"30";53
"2011M12";"31";41
"2012M01";"1";47
"2012M01";"2";45
"2012M01";"3";55
"2012M01";"4";54
"2012M01";"5";62
"2012M01";"6";77
"2012M01";"7";44
"2012M01";"8";65
"2012M01";"9";60
"2012M01";"10";54
"2012M01";"11";67
"2012M01";"12";74
"2012M01";"13";77
"2012M01";"14";50
"2012M01";"15";54
"2012M01";"16";58
"2012M01";"17";65
"2012M01";"18";50
"2012M01";"19";48
"2012M01";"20";71
"2012M01";"21";48
"2012M01";"22";47
"2012M01";"23";74
"2012M01";"24";83
"2012M01";"25";65
"2012M01";"26";64
"2012M01";"27";46
"2012M01";"28";63
"2012M01";"29";51
"2012M01";"30";75
"2012M01";"31";59
"2012M02";"1";52
"2012M02";"2";61
"2012M02";"3";61
"2012M02";"4";37
"2012M02";"5";54
"2012M02";"6";70
"2012M02";"7";70
"2012M02";"8";46
"2012M02";"9";62
"2012M02";"10";64
"2012M02";"11";47
"2012M02";"12";47
"2012M02";"13";69
"2012M02";"14";63
"2012M02";"15";73
"2012M02";"16";62
"2012M02";"17";82
"2012M02";"18";49
"2012M02";"19";51
"2012M02";"20";52
"2012M02";"21";51
"2012M02";"22";60
"2012M02";"23";62
"2012M02";"24";55
"2012M02";"25";56
"2012M02";"26";40
"2012M02";"27";66
"2012M02";"28";57
"2012M02";"29";51
"2012M02";"30";-
"2012M02";"31";-
"2012M03";"1";69
"2012M03";"2";72
"2012M03";"3";55
"2012M03";"4";39
"2012M03";"5";63
"2012M03";"6";51
"2012M03";"7";43
"2012M03";"8";64
"2012M03";"9";53
"2012M03";"10";40
"2012M03";"11";32
"2012M03";"12";63
"2012M03";"13";60
"2012M03";"14";59
"2012M03";"15";68
"2012M03";"16";58
"2012M03";"17";43
"2012M03";"18";37
"2012M03";"19";53
"2012M03";"20";68
"2012M03";"21";58
"2012M03";"22";66
"2012M03";"23";66
"2012M03";"24";41
"2012M03";"25";32
"2012M03";"26";56
"2012M03";"27";63
"2012M03";"28";55
"2012M03";"29";71
"2012M03";"30";66
"2012M03";"31";40
"2012M04";"1";48
"2012M04";"2";52
"2012M04";"3";58
"2012M04";"4";66
"2012M04";"5";74
"2012M04";"6";62
"2012M04";"7";44
"2012M04";"8";44
"2012M04";"9";60
"2012M04";"10";60
"2012M04";"11";63
"2012M04";"12";67
"2012M04";"13";61
"2012M04";"14";50
"2012M04";"15";52
"2012M04";"16";62
"2012M04";"17";65
"2012M04";"18";65
"2012M04";"19";48
"2012M04";"20";72
"2012M04";"21";51
"2012M04";"22";52
"2012M04";"23";59
"2012M04";"24";71
"2012M04";"25";70
"2012M04";"26";89
"2012M04";"27";56
"2012M04";"28";59
"2012M04";"29";46
"2012M04";"30";65
"2012M04";"31";-
"2012M05";"1";54
"2012M05";"2";48
"2012M05";"3";66
"2012M05";"4";84
"2012M05";"5";62
"2012M05";"6";53
"2012M05";"7";74
"2012M05";"8";67
"2012M05";"9";73
"2012M05";"10";65
"2012M05";"11";74
"2012M05";"12";56
"2012M05";"13";49
"2012M05";"14";71
"2012M05";"15";70
"2012M05";"16";62
"2012M05";"17";60
"2012M05";"18";74
"2012M05";"19";55
"2012M05";"20";42
"2012M05";"21";65
"2012M05";"22";58
"2012M05";"23";65
"2012M05";"24";73
"2012M05";"25";60
"2012M05";"26";45
