"STAROSTNE SKUPINE";"IZOBRAZBA MATERE";"LETO";"VRSTNI RED ROJSTVA";Živorojeni
"25-29 let";"Srednja strokovna, srednja splošna";"2011";"Drugo rojstvo";1063
"25-29 let";"Srednja strokovna, srednja splošna";"2011";"Tretje rojstvo ali veè";165
"25-29 let";"Srednja strokovna, srednja splošna";"2012";"Prvo rojstvo";1769
"25-29 let";"Srednja strokovna, srednja splošna";"2012";"Drugo rojstvo";1103
"25-29 let";"Srednja strokovna, srednja splošna";"2012";"Tretje rojstvo ali veè";190
"25-29 let";"Srednja strokovna, srednja splošna";"2013";"Prvo rojstvo";1631
"25-29 let";"Srednja strokovna, srednja splošna";"2013";"Drugo rojstvo";957
"25-29 let";"Srednja strokovna, srednja splošna";"2013";"Tretje rojstvo ali veè";169
"25-29 let";"Srednja strokovna, srednja splošna";"2014";"Prvo rojstvo";1600
"25-29 let";"Srednja strokovna, srednja splošna";"2014";"Drugo rojstvo";1003
"25-29 let";"Srednja strokovna, srednja splošna";"2014";"Tretje rojstvo ali veè";144
"25-29 let";"Srednja strokovna, srednja splošna";"2015";"Prvo rojstvo";1431
"25-29 let";"Srednja strokovna, srednja splošna";"2015";"Drugo rojstvo";953
"25-29 let";"Srednja strokovna, srednja splošna";"2015";"Tretje rojstvo ali veè";176
"25-29 let";"Srednja strokovna, srednja splošna";"2016";"Prvo rojstvo";1286
"25-29 let";"Srednja strokovna, srednja splošna";"2016";"Drugo rojstvo";905
"25-29 let";"Srednja strokovna, srednja splošna";"2016";"Tretje rojstvo ali veè";187
"25-29 let";"Srednja strokovna, srednja splošna";"2017";"Prvo rojstvo";1271
"25-29 let";"Srednja strokovna, srednja splošna";"2017";"Drugo rojstvo";938
"25-29 let";"Srednja strokovna, srednja splošna";"2017";"Tretje rojstvo ali veè";196
"25-29 let";"Srednja strokovna, srednja splošna";"2018";"Prvo rojstvo";1135
"25-29 let";"Srednja strokovna, srednja splošna";"2018";"Drugo rojstvo";915
"25-29 let";"Srednja strokovna, srednja splošna";"2018";"Tretje rojstvo ali veè";167
"25-29 let";"Visokošolska 1. stopnje ipd.";"2010";"Prvo rojstvo";1082
"25-29 let";"Visokošolska 1. stopnje ipd.";"2010";"Drugo rojstvo";475
"25-29 let";"Visokošolska 1. stopnje ipd.";"2010";"Tretje rojstvo ali veè";55
"25-29 let";"Visokošolska 1. stopnje ipd.";"2011";"Prvo rojstvo";791
"25-29 let";"Visokošolska 1. stopnje ipd.";"2011";"Drugo rojstvo";433
"25-29 let";"Visokošolska 1. stopnje ipd.";"2011";"Tretje rojstvo ali veè";33
"25-29 let";"Visokošolska 1. stopnje ipd.";"2012";"Prvo rojstvo";740
"25-29 let";"Visokošolska 1. stopnje ipd.";"2012";"Drugo rojstvo";385
"25-29 let";"Visokošolska 1. stopnje ipd.";"2012";"Tretje rojstvo ali veè";45
"25-29 let";"Visokošolska 1. stopnje ipd.";"2013";"Prvo rojstvo";991
"25-29 let";"Visokošolska 1. stopnje ipd.";"2013";"Drugo rojstvo";457
"25-29 let";"Visokošolska 1. stopnje ipd.";"2013";"Tretje rojstvo ali veè";43
"25-29 let";"Visokošolska 1. stopnje ipd.";"2014";"Prvo rojstvo";1132
"25-29 let";"Visokošolska 1. stopnje ipd.";"2014";"Drugo rojstvo";533
"25-29 let";"Visokošolska 1. stopnje ipd.";"2014";"Tretje rojstvo ali veè";57
"25-29 let";"Visokošolska 1. stopnje ipd.";"2015";"Prvo rojstvo";1151
"25-29 let";"Visokošolska 1. stopnje ipd.";"2015";"Drugo rojstvo";546
"25-29 let";"Visokošolska 1. stopnje ipd.";"2015";"Tretje rojstvo ali veè";69
"25-29 let";"Visokošolska 1. stopnje ipd.";"2016";"Prvo rojstvo";1166
"25-29 let";"Visokošolska 1. stopnje ipd.";"2016";"Drugo rojstvo";646
"25-29 let";"Visokošolska 1. stopnje ipd.";"2016";"Tretje rojstvo ali veè";59
"25-29 let";"Visokošolska 1. stopnje ipd.";"2017";"Prvo rojstvo";1144
"25-29 let";"Visokošolska 1. stopnje ipd.";"2017";"Drugo rojstvo";627
"25-29 let";"Visokošolska 1. stopnje ipd.";"2017";"Tretje rojstvo ali veè";77
"25-29 let";"Visokošolska 1. stopnje ipd.";"2018";"Prvo rojstvo";1082
"25-29 let";"Visokošolska 1. stopnje ipd.";"2018";"Drugo rojstvo";577
"25-29 let";"Visokošolska 1. stopnje ipd.";"2018";"Tretje rojstvo ali veè";75
"25-29 let";"Visokošolska 2. stopnje ipd.";"2010";"Prvo rojstvo";1067
"25-29 let";"Visokošolska 2. stopnje ipd.";"2010";"Drugo rojstvo";394
"25-29 let";"Visokošolska 2. stopnje ipd.";"2010";"Tretje rojstvo ali veè";54
"25-29 let";"Visokošolska 2. stopnje ipd.";"2011";"Prvo rojstvo";1356
"25-29 let";"Visokošolska 2. stopnje ipd.";"2011";"Drugo rojstvo";532
"25-29 let";"Visokošolska 2. stopnje ipd.";"2011";"Tretje rojstvo ali veè";57
"25-29 let";"Visokošolska 2. stopnje ipd.";"2012";"Prvo rojstvo";1243
"25-29 let";"Visokošolska 2. stopnje ipd.";"2012";"Drugo rojstvo";539
"25-29 let";"Visokošolska 2. stopnje ipd.";"2012";"Tretje rojstvo ali veè";54
"25-29 let";"Visokošolska 2. stopnje ipd.";"2013";"Prvo rojstvo";1145
"25-29 let";"Visokošolska 2. stopnje ipd.";"2013";"Drugo rojstvo";493
"25-29 let";"Visokošolska 2. stopnje ipd.";"2013";"Tretje rojstvo ali veè";55
"25-29 let";"Visokošolska 2. stopnje ipd.";"2014";"Prvo rojstvo";1040
"25-29 let";"Visokošolska 2. stopnje ipd.";"2014";"Drugo rojstvo";466
"25-29 let";"Visokošolska 2. stopnje ipd.";"2014";"Tretje rojstvo ali veè";50
"25-29 let";"Visokošolska 2. stopnje ipd.";"2015";"Prvo rojstvo";949
"25-29 let";"Visokošolska 2. stopnje ipd.";"2015";"Drugo rojstvo";398
"25-29 let";"Visokošolska 2. stopnje ipd.";"2015";"Tretje rojstvo ali veè";63
"25-29 let";"Visokošolska 2. stopnje ipd.";"2016";"Prvo rojstvo";959
"25-29 let";"Visokošolska 2. stopnje ipd.";"2016";"Drugo rojstvo";418
"25-29 let";"Visokošolska 2. stopnje ipd.";"2016";"Tretje rojstvo ali veè";50
"25-29 let";"Visokošolska 2. stopnje ipd.";"2017";"Prvo rojstvo";852
"25-29 let";"Visokošolska 2. stopnje ipd.";"2017";"Drugo rojstvo";361
"25-29 let";"Visokošolska 2. stopnje ipd.";"2017";"Tretje rojstvo ali veè";55
"25-29 let";"Visokošolska 2. stopnje ipd.";"2018";"Prvo rojstvo";835
"25-29 let";"Visokošolska 2. stopnje ipd.";"2018";"Drugo rojstvo";349
"25-29 let";"Visokošolska 2. stopnje ipd.";"2018";"Tretje rojstvo ali veè";46
"25-29 let";"Visokošolska 3. stopnje ipd.";"2010";"Prvo rojstvo";31
"25-29 let";"Visokošolska 3. stopnje ipd.";"2010";"Drugo rojstvo";15
"25-29 let";"Visokošolska 3. stopnje ipd.";"2010";"Tretje rojstvo ali veè";3
"25-29 let";"Visokošolska 3. stopnje ipd.";"2011";"Prvo rojstvo";45
"25-29 let";"Visokošolska 3. stopnje ipd.";"2011";"Drugo rojstvo";14
"25-29 let";"Visokošolska 3. stopnje ipd.";"2011";"Tretje rojstvo ali veè";0
"25-29 let";"Visokošolska 3. stopnje ipd.";"2012";"Prvo rojstvo";34
"25-29 let";"Visokošolska 3. stopnje ipd.";"2012";"Drugo rojstvo";8
"25-29 let";"Visokošolska 3. stopnje ipd.";"2012";"Tretje rojstvo ali veè";3
"25-29 let";"Visokošolska 3. stopnje ipd.";"2013";"Prvo rojstvo";21
"25-29 let";"Visokošolska 3. stopnje ipd.";"2013";"Drugo rojstvo";10
"25-29 let";"Visokošolska 3. stopnje ipd.";"2013";"Tretje rojstvo ali veè";0
"25-29 let";"Visokošolska 3. stopnje ipd.";"2014";"Prvo rojstvo";30
"25-29 let";"Visokošolska 3. stopnje ipd.";"2014";"Drugo rojstvo";10
"25-29 let";"Visokošolska 3. stopnje ipd.";"2014";"Tretje rojstvo ali veè";3
"25-29 let";"Visokošolska 3. stopnje ipd.";"2015";"Prvo rojstvo";23
"25-29 let";"Visokošolska 3. stopnje ipd.";"2015";"Drugo rojstvo";10
"25-29 let";"Visokošolska 3. stopnje ipd.";"2015";"Tretje rojstvo ali veè";1
"25-29 let";"Visokošolska 3. stopnje ipd.";"2016";"Prvo rojstvo";32
"25-29 let";"Visokošolska 3. stopnje ipd.";"2016";"Drugo rojstvo";10
"25-29 let";"Visokošolska 3. stopnje ipd.";"2016";"Tretje rojstvo ali veè";1
"25-29 let";"Visokošolska 3. stopnje ipd.";"2017";"Prvo rojstvo";30
"25-29 let";"Visokošolska 3. stopnje ipd.";"2017";"Drugo rojstvo";11
"25-29 let";"Visokošolska 3. stopnje ipd.";"2017";"Tretje rojstvo ali veè";0
"25-29 let";"Visokošolska 3. stopnje ipd.";"2018";"Prvo rojstvo";24
"25-29 let";"Visokošolska 3. stopnje ipd.";"2018";"Drugo rojstvo";16
"25-29 let";"Visokošolska 3. stopnje ipd.";"2018";"Tretje rojstvo ali veè";0
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Prvo rojstvo";6
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Drugo rojstvo";3
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Tretje rojstvo ali veè";12
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Prvo rojstvo";2
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Drugo rojstvo";1
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Tretje rojstvo ali veè";8
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Prvo rojstvo";1
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Drugo rojstvo";2
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Tretje rojstvo ali veè";6
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Prvo rojstvo";3
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Drugo rojstvo";2
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Tretje rojstvo ali veè";5
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Prvo rojstvo";5
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Drugo rojstvo";6
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Tretje rojstvo ali veè";2
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Prvo rojstvo";4
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Drugo rojstvo";4
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Tretje rojstvo ali veè";1
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Prvo rojstvo";6
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Drugo rojstvo";6
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Tretje rojstvo ali veè";4
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Prvo rojstvo";2
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Drugo rojstvo";6
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Tretje rojstvo ali veè";13
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Prvo rojstvo";1
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Drugo rojstvo";7
"30-34 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Tretje rojstvo ali veè";7
"30-34 let";"Osnovnošolska";"2010";"Prvo rojstvo";105
"30-34 let";"Osnovnošolska";"2010";"Drugo rojstvo";146
"30-34 let";"Osnovnošolska";"2010";"Tretje rojstvo ali veè";134
"30-34 let";"Osnovnošolska";"2011";"Prvo rojstvo";117
"30-34 let";"Osnovnošolska";"2011";"Drugo rojstvo";142
"30-34 let";"Osnovnošolska";"2011";"Tretje rojstvo ali veè";157
"30-34 let";"Osnovnošolska";"2012";"Prvo rojstvo";80
"30-34 let";"Osnovnošolska";"2012";"Drugo rojstvo";126
"30-34 let";"Osnovnošolska";"2012";"Tretje rojstvo ali veè";128
"30-34 let";"Osnovnošolska";"2013";"Prvo rojstvo";86
"30-34 let";"Osnovnošolska";"2013";"Drugo rojstvo";117
"30-34 let";"Osnovnošolska";"2013";"Tretje rojstvo ali veè";110
"30-34 let";"Osnovnošolska";"2014";"Prvo rojstvo";75
"30-34 let";"Osnovnošolska";"2014";"Drugo rojstvo";104
"30-34 let";"Osnovnošolska";"2014";"Tretje rojstvo ali veè";116
"30-34 let";"Osnovnošolska";"2015";"Prvo rojstvo";82
"30-34 let";"Osnovnošolska";"2015";"Drugo rojstvo";122
"30-34 let";"Osnovnošolska";"2015";"Tretje rojstvo ali veè";119
"30-34 let";"Osnovnošolska";"2016";"Prvo rojstvo";71
"30-34 let";"Osnovnošolska";"2016";"Drugo rojstvo";129
"30-34 let";"Osnovnošolska";"2016";"Tretje rojstvo ali veè";116
"30-34 let";"Osnovnošolska";"2017";"Prvo rojstvo";54
"30-34 let";"Osnovnošolska";"2017";"Drugo rojstvo";100
"30-34 let";"Osnovnošolska";"2017";"Tretje rojstvo ali veè";128
"30-34 let";"Osnovnošolska";"2018";"Prvo rojstvo";45
"30-34 let";"Osnovnošolska";"2018";"Drugo rojstvo";91
"30-34 let";"Osnovnošolska";"2018";"Tretje rojstvo ali veè";124
"30-34 let";"Nižja poklicna, srednja poklicna";"2010";"Prvo rojstvo";227
"30-34 let";"Nižja poklicna, srednja poklicna";"2010";"Drugo rojstvo";411
"30-34 let";"Nižja poklicna, srednja poklicna";"2010";"Tretje rojstvo ali veè";243
"30-34 let";"Nižja poklicna, srednja poklicna";"2011";"Prvo rojstvo";197
"30-34 let";"Nižja poklicna, srednja poklicna";"2011";"Drugo rojstvo";360
"30-34 let";"Nižja poklicna, srednja poklicna";"2011";"Tretje rojstvo ali veè";206
"30-34 let";"Nižja poklicna, srednja poklicna";"2012";"Prvo rojstvo";200
"30-34 let";"Nižja poklicna, srednja poklicna";"2012";"Drugo rojstvo";358
"30-34 let";"Nižja poklicna, srednja poklicna";"2012";"Tretje rojstvo ali veè";186
"30-34 let";"Nižja poklicna, srednja poklicna";"2013";"Prvo rojstvo";194
"30-34 let";"Nižja poklicna, srednja poklicna";"2013";"Drugo rojstvo";314
"30-34 let";"Nižja poklicna, srednja poklicna";"2013";"Tretje rojstvo ali veè";183
"30-34 let";"Nižja poklicna, srednja poklicna";"2014";"Prvo rojstvo";206
"30-34 let";"Nižja poklicna, srednja poklicna";"2014";"Drugo rojstvo";286
"30-34 let";"Nižja poklicna, srednja poklicna";"2014";"Tretje rojstvo ali veè";180
"30-34 let";"Nižja poklicna, srednja poklicna";"2015";"Prvo rojstvo";149
"30-34 let";"Nižja poklicna, srednja poklicna";"2015";"Drugo rojstvo";283
"30-34 let";"Nižja poklicna, srednja poklicna";"2015";"Tretje rojstvo ali veè";155
"30-34 let";"Nižja poklicna, srednja poklicna";"2016";"Prvo rojstvo";171
"30-34 let";"Nižja poklicna, srednja poklicna";"2016";"Drugo rojstvo";263
"30-34 let";"Nižja poklicna, srednja poklicna";"2016";"Tretje rojstvo ali veè";178
"30-34 let";"Nižja poklicna, srednja poklicna";"2017";"Prvo rojstvo";150
"30-34 let";"Nižja poklicna, srednja poklicna";"2017";"Drugo rojstvo";219
"30-34 let";"Nižja poklicna, srednja poklicna";"2017";"Tretje rojstvo ali veè";175
"30-34 let";"Nižja poklicna, srednja poklicna";"2018";"Prvo rojstvo";131
"30-34 let";"Nižja poklicna, srednja poklicna";"2018";"Drugo rojstvo";204
"30-34 let";"Nižja poklicna, srednja poklicna";"2018";"Tretje rojstvo ali veè";153
"30-34 let";"Srednja strokovna, srednja splošna";"2010";"Prvo rojstvo";910
"30-34 let";"Srednja strokovna, srednja splošna";"2010";"Drugo rojstvo";1183
"30-34 let";"Srednja strokovna, srednja splošna";"2010";"Tretje rojstvo ali veè";401
"30-34 let";"Srednja strokovna, srednja splošna";"2011";"Prvo rojstvo";820
"30-34 let";"Srednja strokovna, srednja splošna";"2011";"Drugo rojstvo";1062
"30-34 let";"Srednja strokovna, srednja splošna";"2011";"Tretje rojstvo ali veè";346
"30-34 let";"Srednja strokovna, srednja splošna";"2012";"Prvo rojstvo";915
"30-34 let";"Srednja strokovna, srednja splošna";"2012";"Drugo rojstvo";1104
"30-34 let";"Srednja strokovna, srednja splošna";"2012";"Tretje rojstvo ali veè";358
"30-34 let";"Srednja strokovna, srednja splošna";"2013";"Prvo rojstvo";871
"30-34 let";"Srednja strokovna, srednja splošna";"2013";"Drugo rojstvo";959
"30-34 let";"Srednja strokovna, srednja splošna";"2013";"Tretje rojstvo ali veè";327
"30-34 let";"Srednja strokovna, srednja splošna";"2014";"Prvo rojstvo";861
"30-34 let";"Srednja strokovna, srednja splošna";"2014";"Drugo rojstvo";922
"30-34 let";"Srednja strokovna, srednja splošna";"2014";"Tretje rojstvo ali veè";328
"30-34 let";"Srednja strokovna, srednja splošna";"2015";"Prvo rojstvo";807
"30-34 let";"Srednja strokovna, srednja splošna";"2015";"Drugo rojstvo";944
"30-34 let";"Srednja strokovna, srednja splošna";"2015";"Tretje rojstvo ali veè";331
"30-34 let";"Srednja strokovna, srednja splošna";"2016";"Prvo rojstvo";705
"30-34 let";"Srednja strokovna, srednja splošna";"2016";"Drugo rojstvo";796
"30-34 let";"Srednja strokovna, srednja splošna";"2016";"Tretje rojstvo ali veè";335
"30-34 let";"Srednja strokovna, srednja splošna";"2017";"Prvo rojstvo";660
"30-34 let";"Srednja strokovna, srednja splošna";"2017";"Drugo rojstvo";903
"30-34 let";"Srednja strokovna, srednja splošna";"2017";"Tretje rojstvo ali veè";330
"30-34 let";"Srednja strokovna, srednja splošna";"2018";"Prvo rojstvo";663
"30-34 let";"Srednja strokovna, srednja splošna";"2018";"Drugo rojstvo";888
"30-34 let";"Srednja strokovna, srednja splošna";"2018";"Tretje rojstvo ali veè";346
"30-34 let";"Visokošolska 1. stopnje ipd.";"2010";"Prvo rojstvo";701
"30-34 let";"Visokošolska 1. stopnje ipd.";"2010";"Drugo rojstvo";802
"30-34 let";"Visokošolska 1. stopnje ipd.";"2010";"Tretje rojstvo ali veè";213
"30-34 let";"Visokošolska 1. stopnje ipd.";"2011";"Prvo rojstvo";555
"30-34 let";"Visokošolska 1. stopnje ipd.";"2011";"Drugo rojstvo";647
"30-34 let";"Visokošolska 1. stopnje ipd.";"2011";"Tretje rojstvo ali veè";172
"30-34 let";"Visokošolska 1. stopnje ipd.";"2012";"Prvo rojstvo";506
"30-34 let";"Visokošolska 1. stopnje ipd.";"2012";"Drugo rojstvo";665
"30-34 let";"Visokošolska 1. stopnje ipd.";"2012";"Tretje rojstvo ali veè";177
"30-34 let";"Visokošolska 1. stopnje ipd.";"2013";"Prvo rojstvo";573
"30-34 let";"Visokošolska 1. stopnje ipd.";"2013";"Drugo rojstvo";677
"30-34 let";"Visokošolska 1. stopnje ipd.";"2013";"Tretje rojstvo ali veè";152
"30-34 let";"Visokošolska 1. stopnje ipd.";"2014";"Prvo rojstvo";529
"30-34 let";"Visokošolska 1. stopnje ipd.";"2014";"Drugo rojstvo";744
"30-34 let";"Visokošolska 1. stopnje ipd.";"2014";"Tretje rojstvo ali veè";174
"30-34 let";"Visokošolska 1. stopnje ipd.";"2015";"Prvo rojstvo";581
"30-34 let";"Visokošolska 1. stopnje ipd.";"2015";"Drugo rojstvo";679
"30-34 let";"Visokošolska 1. stopnje ipd.";"2015";"Tretje rojstvo ali veè";184
"30-34 let";"Visokošolska 1. stopnje ipd.";"2016";"Prvo rojstvo";639
"30-34 let";"Visokošolska 1. stopnje ipd.";"2016";"Drugo rojstvo";722
"30-34 let";"Visokošolska 1. stopnje ipd.";"2016";"Tretje rojstvo ali veè";212
"30-34 let";"Visokošolska 1. stopnje ipd.";"2017";"Prvo rojstvo";622
"30-34 let";"Visokošolska 1. stopnje ipd.";"2017";"Drugo rojstvo";810
"30-34 let";"Visokošolska 1. stopnje ipd.";"2017";"Tretje rojstvo ali veè";211
"30-34 let";"Visokošolska 1. stopnje ipd.";"2018";"Prvo rojstvo";687
"30-34 let";"Visokošolska 1. stopnje ipd.";"2018";"Drugo rojstvo";817
"30-34 let";"Visokošolska 1. stopnje ipd.";"2018";"Tretje rojstvo ali veè";211
"30-34 let";"Visokošolska 2. stopnje ipd.";"2010";"Prvo rojstvo";1022
"30-34 let";"Visokošolska 2. stopnje ipd.";"2010";"Drugo rojstvo";1034
"30-34 let";"Visokošolska 2. stopnje ipd.";"2010";"Tretje rojstvo ali veè";292
"30-34 let";"Visokošolska 2. stopnje ipd.";"2011";"Prvo rojstvo";1213
"30-34 let";"Visokošolska 2. stopnje ipd.";"2011";"Drugo rojstvo";1282
"30-34 let";"Visokošolska 2. stopnje ipd.";"2011";"Tretje rojstvo ali veè";341
"30-34 let";"Visokošolska 2. stopnje ipd.";"2012";"Prvo rojstvo";1205
"30-34 let";"Visokošolska 2. stopnje ipd.";"2012";"Drugo rojstvo";1373
"30-34 let";"Visokošolska 2. stopnje ipd.";"2012";"Tretje rojstvo ali veè";348
"30-34 let";"Visokošolska 2. stopnje ipd.";"2013";"Prvo rojstvo";1194
"30-34 let";"Visokošolska 2. stopnje ipd.";"2013";"Drugo rojstvo";1271
"30-34 let";"Visokošolska 2. stopnje ipd.";"2013";"Tretje rojstvo ali veè";297
"30-34 let";"Visokošolska 2. stopnje ipd.";"2014";"Prvo rojstvo";1170
"30-34 let";"Visokošolska 2. stopnje ipd.";"2014";"Drugo rojstvo";1229
"30-34 let";"Visokošolska 2. stopnje ipd.";"2014";"Tretje rojstvo ali veè";330
"30-34 let";"Visokošolska 2. stopnje ipd.";"2015";"Prvo rojstvo";1187
"30-34 let";"Visokošolska 2. stopnje ipd.";"2015";"Drugo rojstvo";1243
"30-34 let";"Visokošolska 2. stopnje ipd.";"2015";"Tretje rojstvo ali veè";333
"30-34 let";"Visokošolska 2. stopnje ipd.";"2016";"Prvo rojstvo";1189
"30-34 let";"Visokošolska 2. stopnje ipd.";"2016";"Drugo rojstvo";1218
"30-34 let";"Visokošolska 2. stopnje ipd.";"2016";"Tretje rojstvo ali veè";315
"30-34 let";"Visokošolska 2. stopnje ipd.";"2017";"Prvo rojstvo";1134
"30-34 let";"Visokošolska 2. stopnje ipd.";"2017";"Drugo rojstvo";1233
"30-34 let";"Visokošolska 2. stopnje ipd.";"2017";"Tretje rojstvo ali veè";313
"30-34 let";"Visokošolska 2. stopnje ipd.";"2018";"Prvo rojstvo";1034
"30-34 let";"Visokošolska 2. stopnje ipd.";"2018";"Drugo rojstvo";1105
"30-34 let";"Visokošolska 2. stopnje ipd.";"2018";"Tretje rojstvo ali veè";310
"30-34 let";"Visokošolska 3. stopnje ipd.";"2010";"Prvo rojstvo";117
"30-34 let";"Visokošolska 3. stopnje ipd.";"2010";"Drugo rojstvo";128
"30-34 let";"Visokošolska 3. stopnje ipd.";"2010";"Tretje rojstvo ali veè";38
"30-34 let";"Visokošolska 3. stopnje ipd.";"2011";"Prvo rojstvo";147
"30-34 let";"Visokošolska 3. stopnje ipd.";"2011";"Drugo rojstvo";166
"30-34 let";"Visokošolska 3. stopnje ipd.";"2011";"Tretje rojstvo ali veè";34
"30-34 let";"Visokošolska 3. stopnje ipd.";"2012";"Prvo rojstvo";111
"30-34 let";"Visokošolska 3. stopnje ipd.";"2012";"Drugo rojstvo";131
"30-34 let";"Visokošolska 3. stopnje ipd.";"2012";"Tretje rojstvo ali veè";31
"30-34 let";"Visokošolska 3. stopnje ipd.";"2013";"Prvo rojstvo";124
"30-34 let";"Visokošolska 3. stopnje ipd.";"2013";"Drugo rojstvo";131
"30-34 let";"Visokošolska 3. stopnje ipd.";"2013";"Tretje rojstvo ali veè";31
"30-34 let";"Visokošolska 3. stopnje ipd.";"2014";"Prvo rojstvo";122
"30-34 let";"Visokošolska 3. stopnje ipd.";"2014";"Drugo rojstvo";125
"30-34 let";"Visokošolska 3. stopnje ipd.";"2014";"Tretje rojstvo ali veè";40
"30-34 let";"Visokošolska 3. stopnje ipd.";"2015";"Prvo rojstvo";134
"30-34 let";"Visokošolska 3. stopnje ipd.";"2015";"Drugo rojstvo";99
"30-34 let";"Visokošolska 3. stopnje ipd.";"2015";"Tretje rojstvo ali veè";35
"30-34 let";"Visokošolska 3. stopnje ipd.";"2016";"Prvo rojstvo";110
"30-34 let";"Visokošolska 3. stopnje ipd.";"2016";"Drugo rojstvo";132
"30-34 let";"Visokošolska 3. stopnje ipd.";"2016";"Tretje rojstvo ali veè";33
"30-34 let";"Visokošolska 3. stopnje ipd.";"2017";"Prvo rojstvo";105
"30-34 let";"Visokošolska 3. stopnje ipd.";"2017";"Drugo rojstvo";113
"30-34 let";"Visokošolska 3. stopnje ipd.";"2017";"Tretje rojstvo ali veè";28
"30-34 let";"Visokošolska 3. stopnje ipd.";"2018";"Prvo rojstvo";111
"30-34 let";"Visokošolska 3. stopnje ipd.";"2018";"Drugo rojstvo";96
"30-34 let";"Visokošolska 3. stopnje ipd.";"2018";"Tretje rojstvo ali veè";25
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Prvo rojstvo";1
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Drugo rojstvo";3
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Tretje rojstvo ali veè";5
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Prvo rojstvo";1
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Drugo rojstvo";2
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Tretje rojstvo ali veè";2
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Prvo rojstvo";0
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Drugo rojstvo";1
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Tretje rojstvo ali veè";6
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Prvo rojstvo";3
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Drugo rojstvo";1
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Tretje rojstvo ali veè";4
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Prvo rojstvo";0
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Drugo rojstvo";2
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Tretje rojstvo ali veè";6
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Prvo rojstvo";1
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Drugo rojstvo";0
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Tretje rojstvo ali veè";3
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Prvo rojstvo";0
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Drugo rojstvo";3
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Tretje rojstvo ali veè";3
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Prvo rojstvo";3
"35-39 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Drugo rojstvo";3
