"STAROSTNE SKUPINE";"IZOBRAZBA MATERE";"LETO";"VRSTNI RED ROJSTVA";Živorojeni
"20-24 let";"Visokošolska 1. stopnje ipd.";"2016";"Drugo rojstvo";30
"20-24 let";"Visokošolska 1. stopnje ipd.";"2016";"Tretje rojstvo ali veè";1
"20-24 let";"Visokošolska 1. stopnje ipd.";"2017";"Prvo rojstvo";228
"20-24 let";"Visokošolska 1. stopnje ipd.";"2017";"Drugo rojstvo";43
"20-24 let";"Visokošolska 1. stopnje ipd.";"2017";"Tretje rojstvo ali veè";3
"20-24 let";"Visokošolska 1. stopnje ipd.";"2018";"Prvo rojstvo";227
"20-24 let";"Visokošolska 1. stopnje ipd.";"2018";"Drugo rojstvo";28
"20-24 let";"Visokošolska 1. stopnje ipd.";"2018";"Tretje rojstvo ali veè";1
"20-24 let";"Visokošolska 2. stopnje ipd.";"2010";"Prvo rojstvo";44
"20-24 let";"Visokošolska 2. stopnje ipd.";"2010";"Drugo rojstvo";6
"20-24 let";"Visokošolska 2. stopnje ipd.";"2010";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 2. stopnje ipd.";"2011";"Prvo rojstvo";82
"20-24 let";"Visokošolska 2. stopnje ipd.";"2011";"Drugo rojstvo";5
"20-24 let";"Visokošolska 2. stopnje ipd.";"2011";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 2. stopnje ipd.";"2012";"Prvo rojstvo";43
"20-24 let";"Visokošolska 2. stopnje ipd.";"2012";"Drugo rojstvo";2
"20-24 let";"Visokošolska 2. stopnje ipd.";"2012";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 2. stopnje ipd.";"2013";"Prvo rojstvo";44
"20-24 let";"Visokošolska 2. stopnje ipd.";"2013";"Drugo rojstvo";5
"20-24 let";"Visokošolska 2. stopnje ipd.";"2013";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 2. stopnje ipd.";"2014";"Prvo rojstvo";22
"20-24 let";"Visokošolska 2. stopnje ipd.";"2014";"Drugo rojstvo";3
"20-24 let";"Visokošolska 2. stopnje ipd.";"2014";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 2. stopnje ipd.";"2015";"Prvo rojstvo";23
"20-24 let";"Visokošolska 2. stopnje ipd.";"2015";"Drugo rojstvo";8
"20-24 let";"Visokošolska 2. stopnje ipd.";"2015";"Tretje rojstvo ali veè";1
"20-24 let";"Visokošolska 2. stopnje ipd.";"2016";"Prvo rojstvo";13
"20-24 let";"Visokošolska 2. stopnje ipd.";"2016";"Drugo rojstvo";2
"20-24 let";"Visokošolska 2. stopnje ipd.";"2016";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 2. stopnje ipd.";"2017";"Prvo rojstvo";18
"20-24 let";"Visokošolska 2. stopnje ipd.";"2017";"Drugo rojstvo";1
"20-24 let";"Visokošolska 2. stopnje ipd.";"2017";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 2. stopnje ipd.";"2018";"Prvo rojstvo";23
"20-24 let";"Visokošolska 2. stopnje ipd.";"2018";"Drugo rojstvo";1
"20-24 let";"Visokošolska 2. stopnje ipd.";"2018";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2010";"Prvo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2010";"Drugo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2010";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2011";"Prvo rojstvo";1
"20-24 let";"Visokošolska 3. stopnje ipd.";"2011";"Drugo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2011";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2012";"Prvo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2012";"Drugo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2012";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2013";"Prvo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2013";"Drugo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2013";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2014";"Prvo rojstvo";2
"20-24 let";"Visokošolska 3. stopnje ipd.";"2014";"Drugo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2014";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2015";"Prvo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2015";"Drugo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2015";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2016";"Prvo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2016";"Drugo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2016";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2017";"Prvo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2017";"Drugo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2017";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2018";"Prvo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2018";"Drugo rojstvo";0
"20-24 let";"Visokošolska 3. stopnje ipd.";"2018";"Tretje rojstvo ali veè";0
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Prvo rojstvo";4
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Drugo rojstvo";2
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Tretje rojstvo ali veè";8
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Prvo rojstvo";5
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Drugo rojstvo";9
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Tretje rojstvo ali veè";5
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Prvo rojstvo";9
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Drugo rojstvo";18
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Tretje rojstvo ali veè";5
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Prvo rojstvo";13
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Drugo rojstvo";26
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Tretje rojstvo ali veè";6
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Prvo rojstvo";8
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Drugo rojstvo";18
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Tretje rojstvo ali veè";18
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Prvo rojstvo";19
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Drugo rojstvo";28
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Tretje rojstvo ali veè";7
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Prvo rojstvo";21
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Drugo rojstvo";36
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Tretje rojstvo ali veè";21
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Prvo rojstvo";11
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Drugo rojstvo";27
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Tretje rojstvo ali veè";14
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Prvo rojstvo";10
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Drugo rojstvo";24
"25-29 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Tretje rojstvo ali veè";18
"25-29 let";"Osnovnošolska";"2010";"Prvo rojstvo";185
"25-29 let";"Osnovnošolska";"2010";"Drugo rojstvo";183
"25-29 let";"Osnovnošolska";"2010";"Tretje rojstvo ali veè";113
"25-29 let";"Osnovnošolska";"2011";"Prvo rojstvo";180
"25-29 let";"Osnovnošolska";"2011";"Drugo rojstvo";176
"25-29 let";"Osnovnošolska";"2011";"Tretje rojstvo ali veè";86
"25-29 let";"Osnovnošolska";"2012";"Prvo rojstvo";159
"25-29 let";"Osnovnošolska";"2012";"Drugo rojstvo";176
"25-29 let";"Osnovnošolska";"2012";"Tretje rojstvo ali veè";92
"25-29 let";"Osnovnošolska";"2013";"Prvo rojstvo";182
"25-29 let";"Osnovnošolska";"2013";"Drugo rojstvo";153
"25-29 let";"Osnovnošolska";"2013";"Tretje rojstvo ali veè";100
"25-29 let";"Osnovnošolska";"2014";"Prvo rojstvo";144
"25-29 let";"Osnovnošolska";"2014";"Drugo rojstvo";169
"25-29 let";"Osnovnošolska";"2014";"Tretje rojstvo ali veè";101
"25-29 let";"Osnovnošolska";"2015";"Prvo rojstvo";143
"25-29 let";"Osnovnošolska";"2015";"Drugo rojstvo";196
"25-29 let";"Osnovnošolska";"2015";"Tretje rojstvo ali veè";101
"25-29 let";"Osnovnošolska";"2016";"Prvo rojstvo";144
"25-29 let";"Osnovnošolska";"2016";"Drugo rojstvo";130
"25-29 let";"Osnovnošolska";"2016";"Tretje rojstvo ali veè";97
"25-29 let";"Osnovnošolska";"2017";"Prvo rojstvo";103
"25-29 let";"Osnovnošolska";"2017";"Drugo rojstvo";155
"25-29 let";"Osnovnošolska";"2017";"Tretje rojstvo ali veè";86
"25-29 let";"Osnovnošolska";"2018";"Prvo rojstvo";100
"25-29 let";"Osnovnošolska";"2018";"Drugo rojstvo";146
"25-29 let";"Osnovnošolska";"2018";"Tretje rojstvo ali veè";93
"25-29 let";"Nižja poklicna, srednja poklicna";"2010";"Prvo rojstvo";456
"25-29 let";"Nižja poklicna, srednja poklicna";"2010";"Drugo rojstvo";443
"25-29 let";"Nižja poklicna, srednja poklicna";"2010";"Tretje rojstvo ali veè";122
"25-29 let";"Nižja poklicna, srednja poklicna";"2011";"Prvo rojstvo";377
"25-29 let";"Nižja poklicna, srednja poklicna";"2011";"Drugo rojstvo";388
"25-29 let";"Nižja poklicna, srednja poklicna";"2011";"Tretje rojstvo ali veè";107
"25-29 let";"Nižja poklicna, srednja poklicna";"2012";"Prvo rojstvo";382
"25-29 let";"Nižja poklicna, srednja poklicna";"2012";"Drugo rojstvo";344
"25-29 let";"Nižja poklicna, srednja poklicna";"2012";"Tretje rojstvo ali veè";87
"25-29 let";"Nižja poklicna, srednja poklicna";"2013";"Prvo rojstvo";298
"25-29 let";"Nižja poklicna, srednja poklicna";"2013";"Drugo rojstvo";318
"25-29 let";"Nižja poklicna, srednja poklicna";"2013";"Tretje rojstvo ali veè";90
"25-29 let";"Nižja poklicna, srednja poklicna";"2014";"Prvo rojstvo";239
"25-29 let";"Nižja poklicna, srednja poklicna";"2014";"Drugo rojstvo";308
"25-29 let";"Nižja poklicna, srednja poklicna";"2014";"Tretje rojstvo ali veè";78
"25-29 let";"Nižja poklicna, srednja poklicna";"2015";"Prvo rojstvo";262
"25-29 let";"Nižja poklicna, srednja poklicna";"2015";"Drugo rojstvo";263
"25-29 let";"Nižja poklicna, srednja poklicna";"2015";"Tretje rojstvo ali veè";97
"25-29 let";"Nižja poklicna, srednja poklicna";"2016";"Prvo rojstvo";232
"25-29 let";"Nižja poklicna, srednja poklicna";"2016";"Drugo rojstvo";219
"25-29 let";"Nižja poklicna, srednja poklicna";"2016";"Tretje rojstvo ali veè";88
"25-29 let";"Nižja poklicna, srednja poklicna";"2017";"Prvo rojstvo";213
"25-29 let";"Nižja poklicna, srednja poklicna";"2017";"Drugo rojstvo";224
"25-29 let";"Nižja poklicna, srednja poklicna";"2017";"Tretje rojstvo ali veè";76
"25-29 let";"Nižja poklicna, srednja poklicna";"2018";"Prvo rojstvo";170
"25-29 let";"Nižja poklicna, srednja poklicna";"2018";"Drugo rojstvo";204
"25-29 let";"Nižja poklicna, srednja poklicna";"2018";"Tretje rojstvo ali veè";76
"25-29 let";"Srednja strokovna, srednja splošna";"2010";"Prvo rojstvo";1917
"25-29 let";"Srednja strokovna, srednja splošna";"2010";"Drugo rojstvo";1054
"25-29 let";"Srednja strokovna, srednja splošna";"2010";"Tretje rojstvo ali veè";170
"25-29 let";"Srednja strokovna, srednja splošna";"2011";"Prvo rojstvo";1712
